name,triangles,faces,vertices,edges
486-R,847509,847509,2542527,2542527
487-L,976922,976922,2930766,2930766
487-R,1324869,1324869,3974607,3974607
488-L,1033940,1033940,3101820,3101820
488-R,1215740,1215740,3647220,3647220
489-L,1133445,1133445,3400335,3400335
489-R,1329285,1329285,3987855,3987855
49-L,1047362,1047362,3142086,3142086
49-R,1086973,1086973,3260919,3260919
490-L,1078342,1078342,3235026,3235026
490-R,1307877,1307877,3923631,3923631
491-L,896875,896875,2690625,2690625
491-R,1045238,1045238,3135714,3135714
493-L,983513,983513,2950539,2950539
493-R,1022065,1022065,3066195,3066195
494-L,870281,870281,2610843,2610843
494-R,985294,985294,2955882,2955882
495-L,863431,863431,2590293,2590293
495-R,1006845,1006845,3020535,3020535
496-R,859677,859677,2579031,2579031
498-L,782883,782883,2348649,2348649
498-R,819122,819122,2457366,2457366
499-L,845371,845371,2536113,2536113
499-R,754101,754101,2262303,2262303
5-L,1390836,1390836,4172508,4172508
5-R,1406317,1406317,4218951,4218951
